"EAN"|"CODE_ISP"
741173663|"F-12926"
7800018128191|"F-12926"
7795345011455|"F-12929"
7795345121093|"F-12929"
7800026025529|"F-12931"
7800026025062|"F-12936"
7800026025079|"F-12936"
7800018128146|"F-12968"
7800026020364|"F-12972"
7800026025383|"F-12973"
7800060003071|"F-12979"
7800060003064|"F-12980"
7800050002718|"F-12994"
742360176|"F-1300"
7800007144430|"F-1300"
7800062002270|"F-1300"
7896116863089|"F-13002"
7800068032738|"F-13016"
7800007142221|"F-1302"
7800070004341|"F-13030"
7800070004556|"F-13033"
741286308|"F-13036"
7803510000309|"F-13036"
7803510773364|"F-13036"
7800007620651|"F-13038"
7800018167244|"F-13054"
7800007130723|"F-13076"
7800007738301|"F-13076"
7804625951135|"F-13078"
7800063111995|"F-13105"
7800063116778|"F-13105"
740158437|"F-1311"
7800007136336|"F-1311"
744761551|"F-13117"
7730698014869|"F-13117"
7800059121762|"F-13117"
7730698014852|"F-13118"
7800029009472|"F-13121"
742322578|"F-13124"
7800070005805|"F-13124"
7800070005812|"F-13124"
7800032001258|"F-13141"
7800086795202|"F-13153"
7800054001854|"F-13186"
7800018130682|"F-13190"
744055388|"F-13198"
744058349|"F-13198"
7804918403679|"F-13198"
7804918403686|"F-13198"
7795304000483|"F-132"
7800019011553|"F-13214"
7800054001991|"F-13215"
744665870|"F-13234"
7800050000615|"F-13234"
7800070005287|"F-13235"
7800070005263|"F-13236"
7800070000664|"F-13237"
741567715|"F-13238"
741579715|"F-13243"
7800050000615|"F-13243"
7800050002268|"F-13243"
740657887|"F-13246"
7800007702463|"F-13246"
7804614930981|"F-13246"
740658332|"F-13247"
7800007702548|"F-13247"
742884920|"F-13251"
7800028000791|"F-13251"
7800041043898|"F-13284"
741918852|"F-13285"
7800041043874|"F-13285"
7800007652508|"F-13297"
741256266|"F-13324"
7800026050019|"F-13324"
742464254|"F-13341"
7800007516756|"F-13341"
7804620830220|"F-13341"
7896226506081|"F-13350"
7800026003190|"F-13369"
7800026003176|"F-13370"
7800055000269|"F-13396"
7800046004641|"F-13402"
7800050000868|"F-13402"
7800029806200|"F-13404"
7800007748966|"F-13410"
740886558|"F-13412"
7800050000707|"F-13412"
48107077662|"F-13423"
743042751|"F-13441"
7800008011786|"F-13444"
7800008011830|"F-13445"
7800062001808|"F-13448"
22130022|"F-13450"
7800026011676|"F-13451"
7800050002923|"F-13452"
7896548193402|"F-13468"
740176611|"F-1347"
740177084|"F-1347"
7800007114440|"F-1347"
7800007114525|"F-1347"
7800086789409|"F-13474"
7800068012075|"F-13477"
7798092890182|"F-13484"
7707236124786|"F-13486"
7800063116587|"F-13494"
740472023|"F-13499"
7800068010040|"F-13499"
740471676|"F-13500"
7800068010057|"F-13500"
7800028000852|"F-13511"
744366782|"F-13517"
7800086802900|"F-13517"
7800026010877|"F-13525"
7800026010884|"F-13525"
7800026010891|"F-13526"
742990246|"F-13530"
7800060035652|"F-13530"
7793640002543|"F-13533"
744812595|"F-13536"
7809591400113|"F-13536"
7809591400144|"F-13536"
7809591401806|"F-13536"
8470008019281|"F-13536"
7800063111759|"F-13556"
7800063111742|"F-13557"
7800028000944|"F-13568"
740104442|"F-13581"
7800068010156|"F-13581"
741879183|"F-13583"
7800007657657|"F-13583"
7800066000104|"F-13586"
741686611|"F-13587"
7800026015469|"F-13612"
740570151|"F-13624"
7800060118270|"F-13624"
7800060125131|"F-13624"
7800060118355|"F-13625"
7800050001148|"F-13633"
7730979092210|"F-13641"
310742038385|"F-13646"
740651788|"F-13663"
7800007659279|"F-13663"
744447217|"F-13668"
7800028001217|"F-13668"
744447499|"F-13669"
7800028001521|"F-13669"
740166862|"F-13670"
7804918410356|"F-13670"
740166781|"F-13671"
7804918410325|"F-13671"
7800026009970|"F-13687"
7800062001815|"F-13693"
741261684|"F-1371"
7800007119674|"F-1371"
7800086708004|"F-1371"
7007434|"F-13716"
7800063310749|"F-13716"
7800063310763|"F-13716"
7800063311180|"F-13716"
7800062001839|"F-13717"
7800026025536|"F-13722"
7800007803795|"F-13726"
7800007679895|"F-13738"
7800007659354|"F-13747"
7800068013188|"F-13747"
78030527|"F-13761"
310742006230|"F-13764"
310742006261|"F-13764"
7800023226493|"F-13764"
22130136|"F-13776"
22130144|"F-13777"
740113290|"F-13779"
7800060118782|"F-13779"
7800060119321|"F-13779"
741181319|"F-13785"
7805112000190|"F-13785"
741857933|"F-1379"
7800007120847|"F-1379"
7800086738407|"F-1379"
744755588|"F-13790"
7800050000806|"F-13790"
7800050001117|"F-13790"
743959587|"F-13795"
7800063001494|"F-13795"
7800063111803|"F-13795"
7800028001552|"F-13798"
7800028001569|"F-13799"
7800007117465|"F-1380"
741962441|"F-1381"
7800007128157|"F-1381"
7800086764307|"F-1381"
744821909|"F-13810"
7800063310756|"F-13810"
7800018132105|"F-13825"
736085413366|"F-13844"
7896116863065|"F-13846"
740539659|"F-13863"
7800044000126|"F-13863"
7800044000409|"F-13863"
742877665|"F-13868"
7800007176394|"F-13868"
7800018132242|"F-13868"
7804620830527|"F-13868"
7800007660442|"F-13870"
7800026012567|"F-13877"
7800018160870|"F-13881"
742128122|"F-13882"
7800018163642|"F-13882"
7800018187785|"F-13882"
7800062001792|"F-13887"
7800062001853|"F-13887"
744611782|"F-13897"
7795368002607|"F-13897"
7800063325118|"F-13898"
7730698014784|"F-13900"
7800097001095|"F-13900"
7896548197516|"F-13910"
741333755|"F-13911"
7809591400861|"F-13911"
7800023226677|"F-13916"
7800026040041|"F-13919"
741564588|"F-13927"
7800063000770|"F-13927"
743596959|"F-1393"
7800007158062|"F-1393"
7730979093514|"F-13932"
7730979093521|"F-13932"
7730979093521|"F-13933"
7800063000794|"F-13934"
7800028001835|"F-13937"
7795373011267|"F-13944"
